rendered_name,logical_operator,plan_node_class,category,is_trivial,read_reachable,iceberg_reachable,notes
RemoteMerge,Merge,ExchangeNode,exchange,1,1,1,Order-preserving remote gather
SystemMerge,Merge,ExchangeNode,exchange,1,1,1,Scope-dependent merge rendering
AdaptivePlan,AdaptivePlan,AdaptivePlanNode,special,1,1,1,Fault-tolerant adaptive planning wrapper
ExplainAnalyze,ExplainAnalyze,ExplainAnalyzeNode,special,0,0,0,Only present under EXPLAIN ANALYZE
GroupReference,GroupReference,GroupReference,special,1,0,0,Optimizer-internal placeholder; never in a final plan
TableWriter,TableWriter,TableWriterNode,dml,0,0,0,INSERT / CTAS write
TableCommit,TableFinish,TableFinishNode,dml,0,0,0,Commit of a write operation
StatisticsWriter,StatisticsWriter,StatisticsWriterNode,dml,0,0,0,ANALYZE statistics write
RefreshMaterializedView,RefreshMaterializedView,RefreshMaterializedViewNode,dml,0,0,0,REFRESH MATERIALIZED VIEW
MergeWriter,MergeWriter,MergeWriterNode,dml,0,0,0,MERGE write
MergeProcessor,MergeProcessor,MergeProcessorNode,dml,0,0,0,MERGE row processing
TableDelete,TableDelete,TableDeleteNode,dml,0,0,0,DELETE
TableUpdate,TableUpdate,TableUpdateNode,dml,0,0,0,UPDATE
TableExecute,TableExecute,TableExecuteNode,dml,0,0,0,ALTER TABLE EXECUTE
SimpleTableExecute,SimpleTableExecute,SimpleTableExecuteNode,dml,0,0,0,Coordinator-only table execute
